time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-27T23:45:43.221Z,55.9848,-149.6904,8,3.8,ml,,,,0.93,ak,ak18212566,2018-01-28T05:39:49.040Z,"264km SE of Kodiak, Alaska",earthquake,,5.2,,,reviewed,ak,ak
2018-01-27T23:15:14.620Z,56.1303,-149.4329,20.21,3.3,ml,,211,2.392,0.55,us,us2000cqh8,2018-01-27T23:24:07.040Z,"258km SE of Kodiak, Alaska",earthquake,10.2,10.9,0.071,26,reviewed,us,us
2018-01-27T23:08:56.180Z,47.3856667,-123.8841667,27.59,2.49,ml,10,139,0.1367,0.15,uw,uw61345142,2018-01-28T04:37:59.040Z,"9km SSW of Quinault Census Designated Place, Washington",earthquake,1.4,0.78,0.288,6,reviewed,uw,uw
2018-01-27T23:03:50.400Z,55.933,-149.7948,6.12,3.7,ml,,190,2.324,0.51,us,us2000cqh7,2018-01-27T23:18:17.040Z,"261km SE of Kodiak, Alaska",earthquake,9.2,8,0.064,32,reviewed,us,us
2018-01-27T22:49:56.040Z,55.6125,166.2271,10,4.5,mb,,160,5.137,0.97,us,us2000cqh6,2018-01-27T23:11:35.040Z,"48km NNE of Nikol'skoye, Russia",earthquake,7.7,1.9,0.076,51,reviewed,us,us
2018-01-27T22:49:36.660Z,31.6973333,-115.9608333,14.78,2.54,ml,4,151,0.3067,0.05,ci,ci38093664,2018-01-27T23:40:14.773Z,"57km E of Maneadero, B.C., MX",earthquake,0.44,0.96,0.291,20,automatic,ci,ci
2018-01-27T22:48:42.750Z,55.7454,-149.1724,10.59,3.7,ml,,185,2.72,0.73,us,us2000cqh3,2018-01-27T23:01:32.040Z,Gulf of Alaska,earthquake,7.7,7.8,0.064,32,reviewed,us,us
2018-01-27T21:45:12.350Z,7.274,-79.686,10,5.7,mww,,46,1.886,0.74,us,us2000cqgn,2018-01-28T22:18:41.808Z,"47km SE of Pedasi, Panama",earthquake,6.2,1.8,0.061,26,reviewed,us,us
2018-01-27T21:36:08.894Z,61.4966,-146.4313,19.9,2.8,ml,,,,0.74,ak,ak18211444,2018-01-28T04:45:51.040Z,"41km N of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-27T20:46:15.520Z,-32.0677,-179.9811,326.59,4.4,mb,,140,3.323,1.03,us,us2000cqg4,2018-01-27T22:33:33.040Z,"124km SW of L'Esperance Rock, New Zealand",earthquake,14,8.4,0.109,24,reviewed,us,us
2018-01-27T20:26:29.970Z,-15.9314,-74.529,10,4.7,mb,,156,4.518,1.12,us,us2000cqg2,2018-01-27T23:05:08.589Z,"56km S of Acari, Peru",earthquake,7.9,1.9,0.127,19,reviewed,us,us
2018-01-27T19:43:30.230Z,40.1377,142.3268,49.3,4.8,mww,,133,1.162,0.6,us,us2000cqfs,2018-01-28T06:18:32.161Z,"64km NNE of Miyako, Japan",earthquake,6.9,6.1,0.117,7,reviewed,us,us
2018-01-27T18:46:25.870Z,19.5758343,-155.3125,6.15,2.67,ml,50,63,0.1076,0.27,hv,hv70023052,2018-01-27T22:42:23.040Z,"18km NNW of Volcano, Hawaii",earthquake,0.43,1,3.36,26,automatic,hv,hv
2018-01-27T18:44:00.566Z,56.1283,-149.6542,1.3,2.9,ml,,,,0.56,ak,ak18210384,2018-01-27T22:24:40.040Z,"247km SE of Kodiak, Alaska",earthquake,,5.3,,,reviewed,ak,ak
2018-01-27T18:39:39.303Z,57.098,-149.2195,38.4,2.8,ml,,,,0.81,ak,ak18210379,2018-01-27T18:55:09.459Z,"206km ESE of Kodiak, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-01-27T18:06:45.610Z,56.3869,-148.864,18.53,3.6,mb,,181,3.391,1.15,us,us2000cqej,2018-01-27T22:10:16.259Z,"265km SE of Kodiak, Alaska",earthquake,8.7,8.9,0.5,1,reviewed,us,us
2018-01-27T18:00:20.151Z,56.5729,-149.3426,35.1,3.6,ml,,,,0.82,ak,ak18210364,2018-01-27T19:07:52.040Z,"240km SE of Kodiak, Alaska",earthquake,,14.5,,,automatic,ak,ak
2018-01-27T17:47:53.865Z,56.5546,-148.844,9.5,3.5,ml,,,,0.81,ak,ak18209852,2018-01-27T21:56:11.040Z,"271km SE of Kodiak, Alaska",earthquake,,4.3,,,automatic,ak,ak
2018-01-27T17:19:15.050Z,36.1825,70.2156,121.21,3.9,mb,,77,0.984,0.74,us,us2000cqdx,2018-01-27T21:37:37.040Z,"52km WNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,6,7.8,0.181,8,reviewed,us,us
2018-01-27T15:19:42.360Z,35.7573318,-121.2563324,5.52,2.68,md,39,209,0.04978,0.05,nc,nc72959561,2018-01-28T10:42:46.016Z,"14km NNW of San Simeon, CA",earthquake,0.49,0.82,0.13,41,automatic,nc,nc
2018-01-27T15:17:17.900Z,18.208,-67.2528,99,2.73,md,3,288,0.2473,0.14,pr,pr2018027005,2018-01-27T19:28:50.486Z,"11km W of Mayaguez, Puerto Rico",earthquake,2.9,1.27,0.03,3,reviewed,pr,pr
2018-01-27T15:06:49.734Z,56.099,-150.0602,0.1,3.4,ml,,,,0.65,ak,ak18209317,2018-01-27T15:18:16.225Z,"236km SE of Kodiak, Alaska",earthquake,,4.9,,,automatic,ak,ak
2018-01-27T14:40:35.750Z,15.9889,-84.5352,10,4.7,mb,,76,2.875,1.03,us,us2000cqd2,2018-01-27T22:09:21.347Z,"27km NNW of Brus Laguna, Honduras",earthquake,7.9,2,0.115,23,reviewed,us,us
2018-01-27T14:19:33.715Z,56.1336,-149.868,34.9,3.3,ml,,,,0.6,ak,ak18208809,2018-01-27T14:25:27.618Z,"240km SE of Kodiak, Alaska",earthquake,,10.7,,,automatic,ak,ak
2018-01-27T13:44:20.861Z,61.789,-148.2109,13.9,3,ml,,,,0.63,ak,ak18208788,2018-01-27T19:45:43.389Z,"40km E of Sutton-Alpine, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-01-27T13:34:42.180Z,56.0346,-149.8327,28.66,3.7,mb,,179,2.249,0.97,us,us2000cqcl,2018-01-27T14:31:37.040Z,"250km SE of Kodiak, Alaska",earthquake,6.3,7.9,0.226,5,reviewed,us,us
2018-01-27T12:51:35.399Z,59.6735,-151.6,33.2,3,ml,,,,0.78,ak,ak18208756,2018-01-27T17:37:04.482Z,"2km W of Diamond Ridge, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-01-27T12:47:56.300Z,33.7400017,-117.4885025,10.82,3.43,ml,107,41,0.02243,0.25,ci,ci38093472,2018-01-28T20:07:11.773Z,"11km SSE of El Cerrito, California",earthquake,0.25,0.52,0.352,17,automatic,ci,ci
2018-01-27T12:40:02.300Z,36.0497,53.1233,10,4.1,mb,,164,4.416,0.58,us,us2000cqca,2018-01-27T14:30:24.893Z,"57km S of Shari-i-Tajan, Iran",earthquake,7,1.9,0.127,17,reviewed,us,us
2018-01-27T12:13:40.798Z,57.6243,-151.0097,7.8,2.5,ml,,,,0.74,ak,ak18208250,2018-01-27T12:17:14.933Z,"85km ESE of Kodiak, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-01-27T12:01:08.520Z,55.9617,-149.7726,6.54,3.8,mb,,218,2.318,0.57,us,us2000cqc1,2018-01-27T12:34:41.040Z,"259km SE of Kodiak, Alaska",earthquake,10.2,6.7,0.359,2,reviewed,us,us
2018-01-27T11:54:06.200Z,56.5801,-148.6439,11.6,2.9,ml,,,,0.72,ak,ak18208230,2018-01-27T19:21:23.932Z,"264km ESE of Kodiak, Alaska",earthquake,,4.5,,,reviewed,ak,ak
2018-01-27T11:49:54.086Z,63.2522,-143.3073,5.3,2.7,ml,,,,0.94,ak,ak18208221,2018-01-27T12:02:57.999Z,"18km WSW of Tok, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-01-27T11:25:58.297Z,55.9489,-149.7053,10,4.4,ml,,,,0.72,ak,ak18207708,2018-01-27T19:21:23.251Z,"245km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-27T11:14:16.310Z,55.9574,-149.7186,10.2,3.8,ml,,,,0.84,ak,ak18207690,2018-01-27T18:57:55.254Z,"244km SE of Kodiak, Alaska",earthquake,,4.9,,,reviewed,ak,ak
2018-01-27T11:01:45.470Z,22.8747,61.3472,10,4.3,mb,,112,5.137,0.42,us,us2000cqbs,2018-01-27T11:33:38.040Z,"189km E of Sur, Oman",earthquake,11.4,2,0.128,17,reviewed,us,us
2018-01-27T10:56:30.640Z,19.3581,-68.872,49,2.85,md,5,255,0.9764,0.17,pr,pr2018027003,2018-01-27T12:50:00.527Z,"45km NNE of Miches, Dominican Republic",earthquake,2.97,2.75,0.48,2,reviewed,pr,pr
2018-01-27T10:40:16.131Z,55.5765,-149.1425,4.4,3,ml,,,,0.63,ak,ak18207681,2018-01-27T18:52:23.147Z,Gulf of Alaska,earthquake,,5.1,,,reviewed,ak,ak
2018-01-27T09:41:10.823Z,61.2347,-147.014,14.8,2.7,ml,,,,0.49,ak,ak18207672,2018-01-27T10:52:20.040Z,"37km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-27T09:21:48.188Z,56.4442,-148.9988,50.4,3.4,ml,,,,0.62,ak,ak18207188,2018-01-27T09:55:07.040Z,"264km SE of Kodiak, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-01-27T09:06:47.950Z,-29.1002,-71.2817,54.9,4.2,mb,,100,0.516,0.59,us,us2000cqb9,2018-01-27T11:34:36.253Z,"77km SW of Vallenar, Chile",earthquake,5.8,6.4,0.132,16,reviewed,us,us
2018-01-27T08:44:50.240Z,55.63,-149.2474,6.6,4,mb,,174,2.753,0.85,us,us2000cqb4,2018-01-27T09:03:00.040Z,Gulf of Alaska,earthquake,9.7,7.7,0.298,3,reviewed,us,us
2018-01-27T08:42:20.430Z,31.8513333,-115.7291667,12.86,2.47,ml,7,136,0.2409,0.3,ci,ci38093368,2018-01-28T18:00:27.710Z,"67km SW of Alberto Oviedo Mota, B.C., MX",earthquake,1.21,2.8,0.196,24,automatic,ci,ci
2018-01-27T08:27:27.218Z,56.2158,-149.0552,10,2.6,ml,,,,0.65,ak,ak18206672,2018-01-27T18:44:13.980Z,"268km SE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-27T08:19:33.262Z,56.363,-148.6608,10,3.9,ml,,,,0.73,ak,ak18206660,2018-01-27T18:33:40.436Z,"263km ESE of Kodiak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-01-27T07:58:32.400Z,55.8767,-150.3045,4.1,3.5,ml,,220,2.132,0.62,us,us2000cqay,2018-01-27T08:37:16.040Z,"248km SSE of Kodiak, Alaska",earthquake,11.4,8.5,0.081,20,reviewed,us,us
2018-01-27T07:03:10.900Z,18.8985,-67.4858,43,2.93,md,4,335,0.8261,0.13,pr,pr2018027002,2018-01-27T12:49:25.902Z,"60km NW of San Antonio, Puerto Rico",earthquake,2.54,8.01,0.01,3,reviewed,pr,pr
2018-01-27T06:54:46.651Z,56.53,-149.3783,35.1,3.4,ml,,,,0.74,ak,ak18206158,2018-01-27T07:05:21.772Z,"230km SE of Kodiak, Alaska",earthquake,,26.4,,,automatic,ak,ak
2018-01-27T06:49:43.057Z,56.2853,-150.4254,0,3.2,ml,,,,1.15,ak,ak18206155,2018-01-27T07:05:22.018Z,"206km SE of Kodiak, Alaska",earthquake,,5.2,,,automatic,ak,ak
2018-01-27T06:04:02.331Z,56.6128,-148.9728,34.9,3.3,ml,,,,0.61,ak,ak18205659,2018-01-27T06:11:23.569Z,"245km ESE of Kodiak, Alaska",earthquake,,3.6,,,automatic,ak,ak
